Universe Date,Filter Date,Era,Novel Type,Title,Writers,Release Date,Canon or Legends,Image,Thumbnail
382 BBY,-382,THR,ON,The High Republic: Convergence,Zoraida Cordova,11/22/2022,Canon,https://static.wikia.nocookie.net/starwars/images/f/f4/HighRepublicConvergence-Cover.jpg/revision/latest?cb=20220620193112,SWImages\The High Republic Convergence.jpg
382 BBY,-382,THR,OJR,The High Republic: Quest for the Hidden City,George Mann,11/1/2022,Canon,https://static.wikia.nocookie.net/starwars/images/4/4b/QuestfortheHiddenCity-cover.jpg/revision/latest?cb=20220527042308,SWImages\The High Republic Quest for the Hidden City.jpg
382 BBY,-382,THR,YA,The High Republic: Path of Deceit,Tessa Gratton,10/4/2022,Canon,https://static.wikia.nocookie.net/starwars/images/3/38/TheHighRepublic-PathOfDeceit.jpg/revision/latest?cb=20220526233239,SWImages\The High Republic Path of Deceit.jpg
382 BBY,-382,THR,S,The High Republic: The Battle of Jedha,George Mann,2/14/2023,Canon,https://static.wikia.nocookie.net/starwars/images/8/88/Battle-Jedha-Final.jpg/revision/latest?cb=20220723005621,SWImages\The High Republic The Battle of Jedha.jpg
382 BBY,-382,THR,YA,The High Republic: Path of Vengeance,Cavan Scott,5/2/2023,Canon,https://static.wikia.nocookie.net/starwars/images/2/2a/TheHighRepublic-PathofVengeance-cover.jpg/revision/latest?cb=20221010031440,SWImages\The High Republic Path of Vengeance.jpg
382 BBY,-382,THR,ON,The High Republic: Cataclysm,Lydia Kang,4/4/2023,Canon,https://static.wikia.nocookie.net/starwars/images/2/2b/TheHighRepublic-Cataclysm-cover.jpg/revision/latest?cb=20221018054601,SWImages\The High Republic Cataclysm.jpg
382 BBY,-382,THR,OJR,The High Republic: Quest for Planet X,Tessa Gratton,4/4/2023,Canon,https://static.wikia.nocookie.net/starwars/images/9/94/QuestForPlanetX.jpg/revision/latest?cb=20230418030609,SWImages\The High Republic Quest for Planet X.jpg
382 - 232 BBY,-382,THR,YR,The High Republic: Jedi Brave in Every Way,Charles Soule,10/10/2023,Canon,https://static.wikia.nocookie.net/starwars/images/d/db/The_High_Republic_Jedi_Brave_in_Every_Way_cover.jpg/revision/latest?cb=20230218005849,SWImages\The High Republic Jedi Brave in Every Way.jpg
232 BBY,-232,THR,YA,The High Republic: Into the Dark,Claudia Gray,2/2/2021,Canon,https://static.wikia.nocookie.net/starwars/images/8/81/Into_the_Dark_cover.jpg/revision/latest?cb=20200225074008,SWImages\The High Republic Into the Dark.jpg
232 BBY,-232,THR,ON,The High Republic: Light of the Jedi,Charles Soule,1/5/2021,Canon,https://static.wikia.nocookie.net/starwars/images/e/e2/Light_of_the_Jedi_cover.jpg/revision/latest?cb=20200225020702,SWImages\The High Republic Light of the Jedi.jpg
232 BBY,-232,THR,YR,The High Republic: The Great Jedi Rescue,Cavan Scott,1/5/2021,Canon,https://static.wikia.nocookie.net/starwars/images/8/82/Great_Jedi_Rescue_cover.jpg/revision/latest?cb=20201125000538,SWImages\The High Republic The Great Jedi Rescue.jpg
232 BBY,-232,THR,OJR,The High Republic: A Test of Courage,Justina Ireland,1/5/2021,Canon,https://static.wikia.nocookie.net/starwars/images/c/c5/THR-ATestofCourage.jpg/revision/latest?cb=20200323221151,SWImages\The High Republic A Test of Courage.jpg
231 BBY,-231,THR,ON,The High Republic: The Rising Storm,Cavan Scott,6/29/2021,Canon,https://static.wikia.nocookie.net/starwars/images/c/c8/TheHighRepublic-TheRisingStorm.jpg/revision/latest?cb=20210120060833,SWImages\The High Republic The Rising Storm.jpg
231 BBY,-231,THR,OJR,The High Republic: Race to Crashpoint Tower,Daniel Jose Older,6/29/2021,Canon,https://static.wikia.nocookie.net/starwars/images/6/69/Race_to_Crashpoint_Tower_final_cover.jpg/revision/latest?cb=20210215210659,SWImages\The High Republic Race to Crashpoint Tower.jpg
231 BBY,-231,THR,YA,The High Republic: Out of the Shadows,Justina Ireland,7/22/2021,Canon,https://static.wikia.nocookie.net/starwars/images/5/51/Star_Wars_The_High_Republic_Out_of_the_Shadows_final_cover.jpg/revision/latest?cb=20210217035059,SWImages\The High Republic Out of the Shadows.jpg
231 BBY,-231,THR,S,The High Republic: Tempest Runner,Cavan Scott,3/1/2022,Canon,https://static.wikia.nocookie.net/starwars/images/f/ff/The_High_Republic_Tempest_Runner_final_cover.jpg/revision/latest?cb=20210630050619,SWImages\The High Republic Tempest Runner.jpg
230 BBY,-230,THR,OJR,The High Republic: Mission to Disaster,Justina Ireland,1/4/2022,Canon,https://static.wikia.nocookie.net/starwars/images/4/42/HighRepublicMissionToDisaster.jpg/revision/latest?cb=20210916183000,SWImages\The High Republic Mission to Disaster.jpg
